row_id;year_mid;Newbmag;bmag;vmag;vmagold;bmagerr;vmagerr;color_term;ut_start;jd_start;jd_mid;exptime;annular_bin;raj2000;dej2000;PHASE
959;1955.72487452;11.0196;11.0196;10.6286;10.6286;0.272583;0.359934;0.712422;09/23/55 12:00 AM;2435375;2435373.51042;1800;6;298.638846266;33.0010690857;#WERT!
5;1957.26654818;11.1585;11.1585;10.7675;10.7675;0.272639;0.492478;1.14668;04/08/57 02:28 AM;2435936.60326;2435936.60672;600;4;298.639312082;33.0015237479;#WERT!
755;1953.70968171;10.8595;10.8595;10.4685;10.4685;0.272643;0.340309;0.659464;09/16/53 10:44 PM;2434637.4474;2434637.46124;2400;6;298.639378008;33.0015333792;#WERT!
1078;1960.79812153;11.0824;11.0824;10.6914;10.6914;0.272659;0.409912;0.860188;10/19/60 12:00 AM;2437227;2437226.51389;2400;6;298.638903514;33.0015796967;#WERT!
958;1955.72487452;10.9804;10.9804;10.5894;10.5894;0.272698;0.361429;0.716326;09/23/55 12:00 AM;2435375;2435373.51042;1800;6;298.638544406;33.0011095894;#WERT!
249;1937.66627629;11.0705;11.0705;10.6795;10.6795;0.272956;0.367608;0.733106;09/01/37 02:19 AM;2428777.59703;2428777.60741;1800;7;298.639255936;33.0014904583;#WERT!
687;1953.61104975;10.8089;10.8089;10.4179;10.4179;0.273073;0.407896;0.852979;08/11/53 10:07 PM;2434601.42207;2434601.43592;2400;6;298.638832123;33.0012868455;#WERT!
626;1952.29165089;10.9601;10.9601;10.5691;10.5691;0.27341;0.361825;0.715934;04/17/52 12:16 AM;2434119.51163;2434119.52549;2400;6;298.639238123;33.0013804854;#WERT!
627;1952.29165089;11.0092;11.0092;10.6182;10.6182;0.273694;0.360846;0.712617;04/17/52 12:16 AM;2434119.51163;2434119.52549;2400;6;298.639359502;33.001507167;#WERT!
529;1948.92349288;11.0106;11.0106;10.6196;10.6196;0.273825;0.499517;1.17104;12/03/48 07:00 PM;2432889.29184;2432889.30578;1800;6;298.639438059;33.0015241865;#WERT!
266;1937.73682996;11.0716;11.0716;10.6806;10.6806;0.273909;0.377805;0.760324;09/26/37 08:48 PM;2428803.36675;2428803.37714;1800;7;298.639813848;33.0012267033;#WERT!
88;1935.80666228;11.2276;11.2276;10.8366;10.8366;0.273974;0.373943;0.749025;10/22/35 08:56 PM;2428098.37266;2428098.38339;1800;7;298.639286735;33.0014114365;#WERT!
347;1938.80190195;10.9354;10.9354;10.5444;10.5444;0.273992;0.39137;0.800264;10/20/38 09:13 PM;2429192.38429;2429192.39469;1800;6;298.638732966;33.0014151006;#WERT!
894;1955.56881702;11278;11.278;10.887;10887;0.274165;0.350755;0.684018;07/28/55 12:00 AM;2435317;2435316.51042;1800;6;298.639015711;33.0012326881;#WERT!
1150;1962.74969917;10.9283;10.9283;10.5373;10.5373;0.274208;0.349065;0.679378;10/01/62 07:36 PM;2437939.31723;2437939.32762;1800;8;298.638446515;33.0010790423;#WERT!
1109;1962.55842124;10.9461;10.9461;10.5551;10.5551;0.274397;0.362486;0.715695;07/23/62 10:52 PM;2437869.45296;2437869.46336;1800;8;298.638866791;33.0012911339;#WERT!
1;1957.26654818;11.2042;11.2042;10.8132;10.8132;0.274495;0.490705;1.13608;04/08/57 02:28 AM;2435936.60326;2435936.60672;600;4;298.639288393;33.0014955982;#WERT!
926;1955.7111748;10.7515;10.7515;10.3605;10.3605;0.274675;0.355952;0.697062;09/18/55 12:00 AM;2435369;2435368.5066;1140;6;298.639493406;33.0015027537;#WERT!
488;1948.57618087;10.9799;10.9799;10.5889;10.5889;0.27481;0.514126;1.22589;07/29/48 10:33 PM;2432762.43968;2432762.45006;1800;6;298.639322003;33.0014962597;#WERT!
513;1948.74038639;11.2107;11.2107;10.8197;10.8197;0.274889;0.496328;1.15658;09/27/48 09:53 PM;2432822.41228;2432822.42613;2400;6;298.639309976;33.001304909;#WERT!
1123;1962.665232;10.7976;10.7976;10.4066;10.4066;0.274948;0.349255;0.678326;08/31/62 11:10 PM;2437908.4656;2437908.47599;1800;8;298.638287562;33.0010599869;#WERT!
1138;1962.73611746;11.4851;11.4851;11.0941;11.0941;0.274981;0.343948;0.664112;09/26/62 08:33 PM;2437934.35652;2437934.3669;1800;8;298.639164164;33.0012795991;#WERT!
990;1955.87271846;10807;10.807;10.416;10416;0.275002;0.394793;0.808478;11/16/55 12:00 AM;2435429;2435427.51042;1800;6;298.638625317;33.0012420109;#WERT!
573;1950.62971127;10.8924;10.8924;10.5014;10.5014;0.275238;0.516214;1.23326;08/18/50 11:43 PM;2433512.48819;2433512.50204;2400;6;298.639495518;33.0014956822;#WERT!
892;1955.56881702;11.2588;11.2588;10.8678;10.8678;0.275331;0.346287;0.66958;07/28/55 12:00 AM;2435317;2435316.51042;1800;6;298.639138343;33.0012300185;#WERT!
830;1954.82138376;10817;10.817;10.426;10426;0.275372;0.376594;0.753723;10/28/54 12:00 AM;2435045;2435043.51042;1800;6;298.638753582;33.0012854548;#WERT!
790;1954.55581223;10.8663;10.8663;10.4753;10.4753;0.275682;0.372801;0.742139;07/23/54 12:00 AM;2434947;2434946.51042;1800;6;298.638660705;33.0011722067;#WERT!
834;1954.82138376;10.7594;10.7594;10.3684;10.3684;0.2757;0.366523;0.724256;10/28/54 12:00 AM;2435045;2435043.51042;1800;6;298.638830877;33.0010286695;#WERT!
530;1948.92349288;10.9722;10.9722;10.5812;10.5812;0.275717;0.500669;1.17147;12/03/48 07:00 PM;2432889.29184;2432889.30578;1800;6;298.639287986;33.0015215006;#WERT!
246;1937.66627629;11.0987;11.0987;10.7077;10.7077;0.275823;0.369774;0.733197;09/01/37 02:19 AM;2428777.59703;2428777.60741;1800;7;298.639390782;33.0014126183;#WERT!
49;1929.76686645;11.0632;11.0632;10.6722;10.6722;0.276303;0.362145;0.710711;10/07/29 06:33 PM;2425892.27317;2425892.34797;12180;3;298.638534247;33.0009598842;#WERT!
1015;1955.88366986;10952;10.952;10.561;10561;0.276513;0.320767;0.601623;11/20/55 12:00 AM;2435433;2435431.51042;1800;6;298.638942176;33.0013204795;#WERT!
346;1938.80190195;10.9052;10.9052;10.5142;10.5142;0.276689;0.394721;0.804683;10/20/38 09:13 PM;2429192.38429;2429192.39469;1800;6;298.638838066;33.0013498602;#WERT!
521;1948.89330445;10.7157;10.7157;10.3247;10.3247;0.276838;0.497844;1.15824;11/22/48 06:27 PM;2432878.26906;2432878.27945;1800;6;298.639579717;33.0016682823;#WERT!
686;1953.61104975;10.7763;10.7763;10.3853;10.3853;0.277395;0.409237;0.848047;08/11/53 10:07 PM;2434601.42207;2434601.43592;2400;6;298.638972142;33.0014564017;#WERT!
665;1952.61707559;11243;11.243;10.852;10852;0.277598;0.375019;0.744439;08/13/52 08:57 PM;2434238.37301;2434238.38686;2400;6;298.639416733;33.0015348228;#WERT!
925;1955.7111748;10.7541;10.7541;10.3631;10.3631;0.277893;0.356775;0.692478;09/18/55 12:00 AM;2435369;2435368.5066;1140;6;298.639551833;33.0014793316;#WERT!
613;1951.76263117;11.02;11.02;10.629;10629;0.277941;0.374919;0.74342;10/06/51 06:53 PM;2433926.28719;2433926.30104;2400;6;298.639154791;33.0014977585;#WERT!
556;1950.59111723;10.9113;10.9113;10.5203;10.5203;0.278225;0.522841;1.25338;08/04/50 09:24 PM;2433498.39171;2433498.40557;2400;6;298.6388707;33.0013018695;#WERT!
850;1954.90351928;10.7947;10.7947;10.4037;10.4037;0.278414;0.365537;0.715697;11/27/54 12:00 AM;2435075;2435073.51042;1800;6;298.638874479;33.0012942146;#WERT!
134;1936.46392712;10.9532;10.9532;10.5622;10.5622;0.279032;0.389645;0.784371;06/18/36 10:31 PM;2428338.43865;2428338.44938;1800;7;298.639146197;33.0017733837;#WERT!
1041;1960.54895334;10.9984;10.9984;10.6074;10.6074;0.279035;0.349673;0.670745;07/20/60 12:00 AM;2437137;2437135.50521;900;8;298.639559543;33.0016478891;#WERT!
41;1928.76067765;11.0221;11.0221;10.6311;10.6311;0.279056;0.423845;0.891281;10/04/28 06:50 PM;2425524.28485;2425524.83751;14400;2;298.638704792;33.0011693742;#WERT!
9;1957.38395908;10848;10.848;10.457;10457;0.279143;0.472452;1.05859;05/20/57 11:42 PM;2435979.48759;2435979.49105;600;7;298.639309683;33.0014701157;#WERT!
1079;1960.79812153;11.1417;11.1417;10.7507;10.7507;0.279278;0.407574;0.838793;10/19/60 12:00 AM;2437227;2437226.51389;2400;6;298.6389291;33.0015453731;#WERT!
1029;1959.90831052;10.6026;10.6026;10.2116;10.2116;0.279384;0.371849;0.731514;11/29/59 12:00 AM;2436903;2436901.51042;1800;8;298.638426331;33.0008344692;#WERT!
666;1952.61707559;11.2272;11.2272;10.8362;10.8362;0.28013;0.375059;0.739126;08/13/52 08:57 PM;2434238.37301;2434238.38686;2400;6;298.639461376;33.0015267706;#WERT!
90;1935.80666228;11.1128;11.1128;10.7218;10.7218;0.280131;0.381685;0.758401;10/22/35 08:56 PM;2428098.37266;2428098.38339;1800;7;298.639405267;33.0013795819;#WERT!
991;1955.87271846;10.8523;10.8523;10.4613;10.4613;0.280165;0.400413;0.814639;11/16/55 12:00 AM;2435429;2435427.51042;1800;6;298.638721877;33.0012408369;#WERT!
849;1954.90351928;10.7839;10.7839;10.3929;10.3929;0.280322;0.368075;0.718758;11/27/54 12:00 AM;2435075;2435073.51042;1800;6;298.638881567;33.0013463655;#WERT!
630;1952.29720928;11.0398;11.0398;10.6488;10.6488;0.280654;0.367183;0.715521;04/19/52 01:00 AM;2434121.54184;2434121.55569;2400;6;298.639443694;33.0014587725;#WERT!
614;1951.76263117;10989;10.989;10.598;10598;0.280676;0.377583;0.745249;10/06/51 06:53 PM;2433926.28719;2433926.30104;2400;6;298.638839497;33.0012552478;#WERT!
783;1953.8959997;10.7765;10.7765;10.3855;10.3855;0.281115;0.390449;0.782295;11/24/53 12:00 AM;2434707;2434705.51389;2400;6;298.638986038;33.0016724369;#WERT!
1072;1960.79538368;11.1583;11.1583;10.7673;10.7673;0.281535;0.413154;0.851535;10/18/60 12:00 AM;2437227;2437225.51389;2400;6;298.638781169;33.0014659979;#WERT!
1012;1955.88366986;10.9492;10.9492;10.5582;10.5582;0.282021;0.328201;0.608342;11/20/55 12:00 AM;2435433;2435431.51042;1800;6;298.638526781;33.0009985405;#WERT!
735;1953.68785293;10.7641;10.7641;10.3731;10.3731;0.282065;0.370131;0.720824;09/08/53 11:23 PM;2434629.47443;2434629.48828;2400;6;298.639534699;33.001621781;#WERT!
