bmag CLEAN,vmag CLEAN,PHASE,Phase+DELTA
12.777,12.503,0.2573391753,0.2573391753
12.7968,12.5228,0.2573391753,0.2573391753
12.7052,12.4312,0.2972266479,0.2972266479
12.7826,12.5086,0.2972266479,0.2972266479
12.7307,12.4567,0.18651663,0.18651663
12.7985,12.5245,0.18651663,0.18651663
12.1586,11.8846,0.6884983072,0.6884983072
12.1826,11.9086,0.6884983072,0.6884983072
12.4051,12.1311,0.6788388767,0.6788388767
12.4297,12.1557,0.6788388767,0.6788388767
12.4325,12.1585,0.1676259709,0.1676259709
12.4656,12.1916,0.1676259709,0.1676259709
13.2855,13.0115,0.2291824337,0.2291824337
13.2917,13.0177,0.2291824337,0.2291824337
12.2479,11.9739,0.6540031865,0.6540031865
12.3609,12.0869,0.7083150767,0.7083150767
12.3071,12.0331,0.7083150767,0.7083150767
12.2761,12.0021,0.6540031865,0.6540031865
12.4434,12.1694,0.1606353317,0.1606353317
12.4416,12.1676,0.1606353317,0.1606353317
13.083,12.809,0.2350428202,0.2350428202
13.0776,12.8036,0.2350428202,0.2350428202
12.3231,12.0491,0.6612378012,0.6612378012
12.3516,12.0776,0.6612378012,0.6612378012
12.4142,12.1402,0.7005526788,0.7005526788
12.3791,12.1051,0.7005526788,0.7005526788
12.5237,12.2497,0.7381398129,0.7381398129
12.5045,12.2305,0.7381398129,0.7381398129
12.25,11.976,0.5759958177,0.5759958177
12.5359,12.2619,0.1480681141,0.1480681141
12.6455,12.3715,0.1480681141,0.1480681141
12.1808,11.9068,0.5759958177,0.5759958177
12.3113,12.0373,0.6241037643,0.6241037643
12.2838,12.0098,0.6241037643,0.6241037643
12.3276,12.0536,0.1067018523,0.1067018523
12.2948,12.0208,0.1067018523,0.1067018523
12.2571,11.9831,0.5566421031,0.5566421031
12.2681,11.9941,0.5566421031,0.5566421031
12.2053,11.9313,0.5381746663,0.5381746663
12.2234,11.9494,0.5381746663,0.5381746663
12.4009,12.1269,0.0398974309,0.0398974309
12.4182,12.1442,0.0398974309,0.0398974309
12.3732,12.0992,0.5585192194,0.5585192194
12.3663,12.0923,0.5585192194,0.5585192194
12.2102,11.9362,0.9211511651,0.9211511651
12.2304,11.9564,0.9211511651,0.9211511651
11.9678,11.6938,0.5551135231,0.5551135231
11.897,11.623,0.5551135231,0.5551135231
11.9355,11.6615,0.0599432385,0.0599432385
11.8906,11.6166,0.0599432385,0.0599432385
12.0347,11.7607,0.314907389,0.314907389
12.19,11.916,0.314907389,0.314907389
12.2135,11.9395,0.2038139814,0.2038139814
12.308,12.034,0.2038139814,0.2038139814
12.3793,12.1053,0.6939802829,0.6939802829
12.057,11.783,0.6939802829,0.6939802829
12.2007,11.9267,0.6404799841,0.6404799841
12.0665,11.7925,0.5901862178,0.5901862178
12.04,11.766,0.5901862178,0.5901862178
12.2902,12.0162,0.6057458672,0.6057458672
12.2391,11.9651,0.6057458672,0.6057458672
12.124,11.85,0.2670781922,0.2670781922
12.0671,11.7931,0.2670781922,0.2670781922
11.9608,11.6868,0.4794911373,0.4794911373
12.0914,11.8174,0.4794911373,0.4794911373
