"row_id","jd_mid","bmag","plate_id","filename_preview"
"738","2434635.50341","10.9796","7607","LA08083_pre.jpg"
"739","2434635.50341","10.9563","7607","LA08083_pre.jpg"
"740","2434636.32442","11.2505","7610","LA08086_pre.jpg"
"741","2434636.32442","11.2611","7610","LA08086_pre.jpg"
"742","2434637.42731","10.8727","7620","LA08096_pre.jpg"
"743","2434637.42731","10.899","7620","LA08096_pre.jpg"
"744","2434636.4747","10.9053","7618","LA08094_pre.jpg"
"745","2434636.44458","10.9311","7617","LA08093_pre.jpg"
"746","2434636.4747","10.8908","7618","LA08094_pre.jpg"
"747","2434636.44458","10.931","7617","LA08093_pre.jpg"
"748","2434637.46124","10.8418","7621","LA08097_pre.jpg"
"749","2434637.46124","10.8595","7621","LA08097_pre.jpg"
"750","2434655.32535","11.102","7622","LA08098_pre.jpg"
"751","2434655.32535","11.0774","7622","LA08098_pre.jpg"
"752","2434657.32907","10.9001","7623","LA08099_pre.jpg"
"753","2434657.32907","10.8979","7623","LA08099_pre.jpg"
"754","2434658.46","10.6713","7624","LA08100_pre.jpg"
"755","2434658.46","10.6833","7624","LA08100_pre.jpg"
"756","2434662.38034","10.887","7634","LA08110_pre.jpg"
"757","2434662.44873","10.812","7635","LA08111_pre.jpg"
"758","2434662.44873","10.8358","7635","LA08111_pre.jpg"
"759","2434662.38034","10.9056","7634","LA08110_pre.jpg"
"760","2434663.40323","10.9772","7641","LA08117_pre.jpg"
"761","2434663.40323","10.9949","7641","LA08117_pre.jpg"
"762","2434663.43492","10.9123","7642","LA08118_pre.jpg"
"763","2434663.43492","10.9145","7642","LA08118_pre.jpg"
"764","2434664.39064","10.8744","7652","LA08128_pre.jpg"
"765","2434664.36051","10.9557","7651","LA08127_pre.jpg"
"766","2434664.33073","10.9343","7650","LA08126_pre.jpg"
"767","2434664.39064","10.8695","7652","LA08128_pre.jpg"
"768","2434664.36051","10.9842","7651","LA08127_pre.jpg"
"769","2434664.33073","10.9428","7650","LA08126_pre.jpg"
"770","2434678.27587","10.883","7657","LA08134_pre.jpg"
"771","2434678.27587","10.9055","7657","LA08134_pre.jpg"
"772","2437869.42042","10.8656","8688","LA09186_pre.jpg"
"773","2437869.44189","10.7536","8689","LA09187_pre.jpg"
"774","2437869.44189","10.7586","8689","LA09187_pre.jpg"
"775","2437869.42042","10.9226","8688","LA09186_pre.jpg"
"776","2437869.47825","10.8402","8691","LA09189_pre.jpg"
"777","2437869.47825","10.8725","8691","LA09189_pre.jpg"
"778","2437869.46336","10.914","8690","LA09188_pre.jpg"
"779","2437869.46336","10.9461","8690","LA09188_pre.jpg"
"780","2437885.45984","10.8904","8700","LA09199_pre.jpg"
"781","2437904.3619","10.8943","8702","LA09201_pre.jpg"
"782","2437904.3619","10.9309","8702","LA09201_pre.jpg"
"783","2437908.34786","11.2668","8703","LA09202_pre.jpg"
"784","2437908.34786","11.2478","8703","LA09202_pre.jpg"
"785","2437885.45984","10.9765","8700","LA09199_pre.jpg"
"786","2437885.482","11.1908","8701","LA09200_pre.jpg"
"787","2437885.482","11.2418","8701","LA09200_pre.jpg"
"788","2437908.42474","10.9372","8705","LA09204_pre.jpg"
"789","2437908.42474","10.9038","8705","LA09204_pre.jpg"
"790","2437908.45244","10.8791","8706","LA09205_pre.jpg"
"791","2437908.47599","10.8125","8707","LA09206_pre.jpg"
"792","2437908.45244","10.9293","8706","LA09205_pre.jpg"
"793","2437908.47599","10.7976","8707","LA09206_pre.jpg"
"794","2437908.49884","10.9955","8708","LA09207_pre.jpg"
